"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s105","p138",127,217,17,18
"s106","p138",169,216,18,17
"s107","p138",144,213,20,16
"s108","p138",108,121,29,16
"s109","p138",177,124,15,16
"s110","p138",161,62,15,17
"s111","p138",250,144,15,13
"s112","p138",227,102,28,17
"s113","p138",135,125,15,12
"s114","p138",127,227,16,14
"s115","p138",117,302,16,19
"s116","p138",239,538,39,43
"s117","p138",274,488,37,59
"s118","p138",109,217,34,19
"s119","p138",403,113,43,15
"s120","p138",322,83,40,14
"s121","p138",338,140,60,27
"s122","p138",506,325,47,13
"s123","p138",889,493,62,19
"s124","p138",300,689,8,69
"s125","p138",421,388,63,23
"s126","p138",229,317,28,35
"s127","p138",251,481,22,38
"s128","p138",235,500,13,51
"s129","p138",398,358,48,16
"s130","p138",357,216,49,10
"s131","p138",181,292,13,33
"s132","p138",143,270,13,40
"s133","p138",399,483,22,47
"s134","p138",536,548,25,53
"s135","p138",419,136,48,4
"s136","p138",290,408,7,57
"s137","p138",156,589,2,50
"s138","p138",179,306,6,36
"s139","p138",428,110,35,16
"s140","p138",388,108,33,14
"s141","p138",232,68,7,28
"s142","p138",314,399,6,71
"s143","p138",743,94,58,6
"s144","p138",254,143,4,34
"s145","p138",199,443,5,67
"s146","p138",769,326,50,27
"s147","p138",838,152,43,18
"s148","p138",354,382,10,67
"s149","p138",496,292,60,21
"s150","p138",97,280,3,48
"s151","p138",90,288,3,55
"s152","p138",274,80,57,5
"s153","p138",189,149,4,47
"s154","p138",83,215,1,34
"s155","p138",2,529,0,46
"s156","p138",584,144,68,8
"s157","p138",429,135,41,9
"s158","p138",296,51,53,4
"s159","p138",689,36,62,8
"s160","p138",496,4,57,1
"s161","p138",335,141,10,24
"s162","p138",342,49,38,10
"s163","p138",367,27,62,7
"s164","p138",491,156,24,31
"s165","p138",498,291,14,28
"s166","p138",528,447,16,52
"s167","p138",298,347,18,51
"s168","p138",430,6,59,0
"s169","p138",421,10,61,2
"s170","p138",514,293,25,53
"s171","p138",352,373,28,58
"s172","p138",228,125,38,19
"s173","p138",414,189,35,24
"s174","p138",141,222,7,31
"s175","p138",268,55,47,4
"s176","p138",389,501,19,64
"s177","p138",303,409,15,48
"s178","p138",717,90,75,8
"s179","p138",392,376,14,44
"s180","p138",507,193,13,39
"s01","p510",597,308,55,16
"s02","p510",902,208,65,16
"s03","p510",756,295,44,13
"s04","p510",1172,444,59,13
"s05","p510",1890,471,63,18
"s06","p510",2069,707,70,24
"s07","p510",1889,563,60,17
"s08","p510",1089,425,25,15
"s09","p510",1312,492,44,13
"s10","p510",1502,556,57,10
"s11","p510",1008,326,32,8
"s12","p510",2006,984,64,21
"s13","p510",1445,479,45,13
"s14","p510",784,410,24,10
